cut,depth,color_D,color_F,color_I,price_1,price_2,price_3,price_4,carat,Euclidian Distance,,,KNN = 1,KNN = 5,KNN = 10
1,0.242924528,1,0,0,0,0,0,1,0.71,0.007462418,,,,,
1,0.235849057,1,0,0,0,0,0,1,0.7,0.114896943,,,0.7,0.75,0.663
1,0.117924528,1,0,0,0,0,0,1,0.9,0.232821472,,,,,
0,0.08490566,1,0,0,0,0,0,1,0.9,1.034732374,,,,,
1,0.344339623,1,0,0,0,1,0,0,0.71,1.414228073,,,,,
1,0.299528302,1,0,0,1,0,0,0,0.54,1.415140718,,,,,
1,0.410377358,1,0,0,1,0,0,0,0.51,1.415470204,,,,,
1,0.410377358,1,0,0,0,0,1,0,0.77,1.415470204,,,,,
1,0.280660377,1,0,0,1,0,0,0,0.44,1.41594915,,,,,
1,0.431603774,1,0,0,1,0,0,0,0.46,1.416523201,,,,,
1,0.431603774,1,0,0,0,0,1,0,0.7,1.416523201,,,,,
1,0.254716981,1,0,0,1,0,0,0,0.51,1.417470131,,,,,
1,0.462264151,1,0,0,1,0,0,0,0.5,1.418603644,,,,,
1,0.462264151,1,0,0,0,1,0,0,0.71,1.418603644,,,,,
1,0.224056604,0,0,1,0,0,0,1,0.92,1.419876827,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.5,1.421580441,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.5,1.421580441,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.52,1.421580441,,,,,
1,0.495283019,1,0,0,1,0,0,0,0.53,1.421580441,,,,,
1,0.495283019,1,0,0,0,1,0,0,0.7,1.421580441,,,,,
1,0.200471698,1,0,0,0,1,0,0,0.62,1.422175223,,,,,
1,0.528301887,1,0,0,1,0,0,0,0.51,1.425316138,,,,,
1,0.528301887,1,0,0,1,0,0,0,0.51,1.425316138,,,,,
1,0.528301887,1,0,0,1,0,0,0,0.52,1.425316138,,,,,
1,0.528301887,1,0,0,0,0,1,0,0.76,1.425316138,,,,,
1,0.169811321,1,0,0,1,0,0,0,0.53,1.425740986,,,,,
1,0.162735849,1,0,0,0,1,0,0,0.57,1.426656166,,,,,
1,0.153301887,0,0,1,0,0,0,1,0.93,1.427930033,,,,,
1,0.566037736,1,0,0,1,0,0,0,0.44,1.430507089,,,,,
1,0.566037736,0,0,1,0,0,0,1,1.01,1.430507089,,,,,
1,0.132075472,1,0,0,1,0,0,0,0.51,1.431019497,,,,,
1,0.132075472,1,0,0,0,1,0,0,0.7,1.431019497,,,,,
1,0.132075472,1,0,0,0,0,1,0,0.7,1.431019497,,,,,
1,0.132075472,0,0,1,0,0,0,1,0.91,1.431019497,,,,,
1,0.096698113,1,0,0,0,0,1,0,0.7,1.436850837,,,,,
1,0.617924528,1,0,0,1,0,0,0,0.45,1.439230477,,,,,
1,0.617924528,1,0,0,1,0,0,0,0.45,1.439230477,,,,,
1,0.617924528,1,0,0,1,0,0,0,0.51,1.439230477,,,,,
1,0.617924528,1,0,0,1,0,0,0,0.5,1.439230477,,,,,
1,0.617924528,1,0,0,1,0,0,0,0.51,1.439230477,,,,,
1,0.617924528,1,0,0,1,0,0,0,0.5,1.439230477,,,,,
1,0.617924528,0,1,0,0,0,0,1,0.96,1.439230477,,,,,
1,0.054245283,0,0,1,0,0,0,1,1.01,1.444961133,,,,,
1,0.695754717,1,0,0,0,0,1,0,0.7,1.455689189,,,,,
1,0.695754717,1,0,0,0,0,1,0,0.7,1.455689189,,,,,
1,0.721698113,1,0,0,1,0,0,0,0.5,1.462055221,,,,,
1,0.721698113,1,0,0,1,0,0,0,0.5,1.462055221,,,,,
1,0.721698113,1,0,0,0,1,0,0,0.72,1.462055221,,,,,
1,0.721698113,1,0,0,0,0,1,0,0.78,1.462055221,,,,,
1,0.752358491,1,0,0,1,0,0,0,0.5,1.470133529,,,,,
1,0.752358491,1,0,0,0,0,1,0,0.7,1.470133529,,,,,
1,0.752358491,1,0,0,0,0,1,0,0.7,1.470133529,,,,,
1,0.778301887,1,0,0,1,0,0,0,0.51,1.477431567,,,,,
1,0.806603774,1,0,0,0,0,1,0,0.77,1.485868874,,,,,
0,0.200471698,0,1,0,0,0,0,1,0.9,1.738557553,,,,,
0,0.08490566,1,0,0,1,0,0,0,0.49,1.752333041,,,,,
0,0.617924528,1,0,0,1,0,0,0,0.5,1.752536552,,,,,
0,0.037735849,1,0,0,0,1,0,0,0.71,1.760106632,,,,,
0,0.009433962,1,0,0,0,1,0,0,0.71,1.765359427,,,,,
0,0.83490566,1,0,0,1,0,0,0,0.51,1.798446712,,,,,
0,0.83490566,1,0,0,0,1,0,0,0.71,1.798446712,,,,,
0,0.882075472,1,0,0,0,0,1,0,0.71,1.811714935,,,,,
0,0.882075472,0,1,0,0,0,0,1,0.9,1.811714935,,,,,
0,0.924528302,1,0,0,0,1,0,0,0.7,1.824616708,,,,,
0,0.943396226,1,0,0,0,1,0,0,0.72,1.830637673,,,,,
0,0.964622642,0,1,0,0,0,0,1,0.9,1.837619256,,,,,
0,0.990566038,0,1,0,0,0,0,1,0.91,1.846447855,,,,,
0,0.995283019,1,0,0,1,0,0,0,0.5,1.848087652,,,,,
0,1,0,0,1,0,0,0,1,1.01,1.849738024,,,,,
1,0.351415094,0,0,1,0,0,1,0,0.9,2.000000112,,,,,
1,0.351415094,0,0,1,0,0,1,0,0.9,2.000000112,,,,,
1,0.358490566,0,0,1,0,0,1,0,0.9,2.000014995,,,,,
1,0.363207547,0,1,0,0,1,0,0,0.7,2.000038822,,,,,
1,0.33490566,0,1,0,0,1,0,0,0.66,2.000062728,,,,,
1,0.330188679,0,1,0,1,0,0,0,0.5,2.000105648,,,,,
1,0.372641509,0,1,0,1,0,0,0,0.5,2.00011985,,,,,
1,0.372641509,0,1,0,1,0,0,0,0.55,2.00011985,,,,,
1,0.372641509,0,1,0,1,0,0,0,0.57,2.00011985,,,,,
1,0.320754717,0,0,1,0,1,0,0,0.71,2.000224857,,,,,
1,0.320754717,0,1,0,0,1,0,0,0.72,2.000224857,,,,,
1,0.386792453,0,1,0,1,0,0,0,0.5,2.00032481,,,,,
1,0.386792453,0,1,0,0,1,0,0,0.7,2.00032481,,,,,
1,0.386792453,0,1,0,0,1,0,0,0.7,2.00032481,,,,,
1,0.398584906,0,1,0,1,0,0,0,0.61,2.000572058,,,,,
1,0.398584906,0,1,0,0,1,0,0,0.71,2.000572058,,,,,
1,0.299528302,0,1,0,1,0,0,0,0.5,2.000655706,,,,,
1,0.299528302,0,1,0,1,0,0,0,0.5,2.000655706,,,,,
1,0.299528302,0,1,0,0,0,1,0,0.82,2.000655706,,,,,
1,0.410377358,0,1,0,1,0,0,0,0.51,2.000888777,,,,,
1,0.287735849,0,0,1,1,0,0,0,0.67,2.000992324,,,,,
1,0.280660377,0,1,0,1,0,0,0,0.54,2.001227622,,,,,
1,0.273584906,0,1,0,0,0,1,0,0.8,2.001487905,,,,,
1,0.431603774,0,1,0,1,0,0,0,0.5,2.001633828,,,,,
1,0.431603774,0,1,0,1,0,0,0,0.5,2.001633828,,,,,
1,0.431603774,0,1,0,1,0,0,0,0.51,2.001633828,,,,,
1,0.431603774,0,1,0,0,0,1,0,0.8,2.001633828,,,,,
1,0.268867925,0,0,1,1,0,0,0,0.5,2.001675303,,,,,
1,0.264150943,0,1,0,0,1,0,0,0.77,2.001873798,,,,,
1,0.254716981,0,0,1,0,1,0,0,0.72,2.002304066,,,,,
1,0.254716981,0,1,0,0,1,0,0,0.7,2.002304066,,,,,
1,0.242924528,0,1,0,1,0,0,0,0.57,2.002904259,,,,,
1,0.462264151,0,1,0,1,0,0,0,0.5,2.003106662,,,,,
1,0.462264151,0,1,0,1,0,0,0,0.5,2.003106662,,,,,
1,0.462264151,0,1,0,1,0,0,0,0.5,2.003106662,,,,,
1,0.462264151,0,1,0,1,0,0,0,0.5,2.003106662,,,,,
1,0.462264151,0,0,1,0,1,0,0,0.72,2.003106662,,,,,
1,0.231132075,0,1,0,1,0,0,0,0.5,2.00357368,,,,,
1,0.216981132,0,0,1,0,1,0,0,0.7,2.004468269,,,,,
1,0.212264151,0,1,0,0,1,0,0,0.64,2.004788573,,,,,
1,0.20754717,0,1,0,0,1,0,0,0.7,2.005119923,,,,,
1,0.495283019,0,0,1,1,0,0,0,0.59,2.005215936,,,,,
1,0.495283019,0,0,1,1,0,0,0,0.61,2.005215936,,,,,
1,0.191037736,0,1,0,1,0,0,0,0.5,2.006366549,,,,,
1,0.191037736,0,1,0,1,0,0,0,0.6,2.006366549,,,,,
1,0.183962264,0,1,0,0,1,0,0,0.67,2.006942155,,,,,
1,0.176886792,0,0,1,0,1,0,0,0.79,2.007542534,,,,,
1,0.176886792,0,0,1,0,0,1,0,0.9,2.007542534,,,,,
1,0.528301887,0,1,0,1,0,0,0,0.59,2.007866055,,,,,
1,0.528301887,0,1,0,0,1,0,0,0.7,2.007866055,,,,,
1,0.528301887,0,1,0,0,1,0,0,0.72,2.007866055,,,,,
1,0.153301887,0,1,0,1,0,0,0,0.55,2.009722413,,,,,
1,0.146226415,0,1,0,0,1,0,0,0.67,2.01042987,,,,,
1,0.566037736,0,1,0,1,0,0,0,0.5,2.011554258,,,,,
1,0.566037736,0,1,0,1,0,0,0,0.5,2.011554258,,,,,
1,0.566037736,0,1,0,1,0,0,0,0.5,2.011554258,,,,,
1,0.566037736,0,1,0,1,0,0,0,0.52,2.011554258,,,,,
1,0.566037736,0,0,1,0,1,0,0,0.7,2.011554258,,,,,
1,0.566037736,0,0,1,0,1,0,0,0.7,2.011554258,,,,,
1,0.566037736,0,1,0,0,1,0,0,0.71,2.011554258,,,,,
1,0.132075472,0,1,0,0,1,0,0,0.72,2.011918686,,,,,
1,0.108490566,0,1,0,1,0,0,0,0.5,2.014618499,,,,,
1,0.108490566,0,1,0,0,1,0,0,0.71,2.014618499,,,,,
1,0.108490566,0,1,0,0,1,0,0,0.71,2.014618499,,,,,
1,0.096698113,0,1,0,1,0,0,0,0.5,2.016070517,,,,,
1,0.08490566,0,0,1,0,1,0,0,0.7,2.017590416,,,,,
1,0.617924528,0,0,1,1,0,0,0,0.61,2.017767173,,,,,
1,0.617924528,0,1,0,1,0,0,0,0.51,2.017767173,,,,,
1,0.617924528,0,0,1,0,1,0,0,0.73,2.017767173,,,,,
1,0.617924528,0,0,1,0,0,1,0,0.9,2.017767173,,,,,
1,0.617924528,0,0,1,0,0,1,0,0.9,2.017767173,,,,,
1,0.054245283,0,0,1,0,1,0,0,0.7,2.021858718,,,,,
1,0.66745283,0,1,0,1,0,0,0,0.5,2.024920546,,,,,
1,0.66745283,0,1,0,0,1,0,0,0.7,2.024920546,,,,,
1,0.66745283,0,0,1,0,1,0,0,0.81,2.024920546,,,,,
1,0.66745283,0,0,1,0,1,0,0,0.81,2.024920546,,,,,
1,0.66745283,0,1,0,0,1,0,0,0.71,2.024920546,,,,,
1,0.66745283,0,1,0,0,1,0,0,0.71,2.024920546,,,,,
1,0.66745283,0,0,1,0,0,1,0,0.9,2.024920546,,,,,
1,0.66745283,0,0,1,0,0,1,0,0.9,2.024920546,,,,,
1,0.033018868,0,1,0,1,0,0,0,0.45,2.025080376,,,,,
1,0.021226415,0,0,1,1,0,0,0,0.63,2.026964025,,,,,
1,0.695754717,0,0,1,0,1,0,0,0.7,2.029539607,,,,,
1,0.695754717,0,1,0,0,1,0,0,0.7,2.029539607,,,,,
1,0.721698113,0,1,0,1,0,0,0,0.5,2.034110486,,,,,
1,0.721698113,0,0,1,1,0,0,0,0.71,2.034110486,,,,,
1,0.721698113,0,0,1,1,0,0,0,0.71,2.034110486,,,,,
1,0.752358491,0,1,0,0,1,0,0,0.66,2.039924654,,,,,
1,0.752358491,0,1,0,0,1,0,0,0.72,2.039924654,,,,,
1,0.778301887,0,1,0,1,0,0,0,0.54,2.045190465,,,,,
1,0.778301887,0,0,1,0,1,0,0,0.71,2.045190465,,,,,
1,0.778301887,0,0,1,0,0,1,0,0.91,2.045190465,,,,,
1,0.806603774,0,0,1,0,1,0,0,0.71,2.051293814,,,,,
1,0.806603774,0,0,1,0,1,0,0,0.71,2.051293814,,,,,
1,0.806603774,0,1,0,0,1,0,0,0.7,2.051293814,,,,,
1,0.806603774,0,0,1,0,1,0,0,0.91,2.051293814,,,,,
1,0.806603774,0,0,1,0,1,0,0,0.91,2.051293814,,,,,
1,0.860849057,0,0,1,0,1,0,0,0.83,2.064026436,,,,,
1,0.900943396,0,1,0,1,0,0,0,0.59,2.074299201,,,,,
1,0.931603774,0,1,0,1,0,0,0,0.5,2.082641533,,,,,
0,0.339622642,0,0,1,1,0,0,0,0.71,2.236095644,,,,,
0,0.320754717,0,1,0,0,1,0,0,0.74,2.236269098,,,,,
0,0.311320755,0,1,0,1,0,0,0,0.51,2.236415514,,,,,
0,0.224056604,0,1,0,1,0,0,0,0.32,2.239654036,,,,,
0,0.162735849,0,1,0,1,0,0,0,0.65,2.243958069,,,,,
0,0.073113208,0,0,1,1,0,0,0,0.61,2.253237663,,,,,
0,0.073113208,0,0,1,0,1,0,0,0.88,2.253237663,,,,,
0,0.066037736,0,0,1,0,0,1,0,0.87,2.254120404,,,,,
0,0.061320755,0,0,1,1,0,0,0,0.67,2.254721041,,,,,
0,0.044811321,0,1,0,1,0,0,0,0.56,2.25689965,,,,,
0,0.044811321,0,1,0,0,1,0,0,0.64,2.25689965,,,,,
0,0.028301887,0,1,0,1,0,0,0,0.51,2.259196806,,,,,
0,0.021226415,0,0,1,0,0,1,0,0.96,2.260217502,,,,,
0,0.014150943,0,1,0,1,0,0,0,0.5,2.261259877,,,,,
0,0.004716981,0,1,0,0,1,0,0,0.72,2.262683381,,,,,
0,0,0,0,1,1,0,0,0,0.64,2.263409542,,,,,
0,0.752358491,0,0,1,0,1,0,0,0.9,2.271847837,,,,,
0,0.778301887,0,1,0,1,0,0,0,0.45,2.276577263,,,,,
0,0.806603774,0,1,0,1,0,0,0,0.45,2.282061855,,,,,
0,0.83490566,0,0,1,1,0,0,0,0.7,2.287883427,,,,,
0,0.83490566,0,1,0,0,1,0,0,0.59,2.287883427,,,,,
0,0.83490566,0,0,1,0,0,1,0,0.92,2.287883427,,,,,
0,0.849056604,0,1,0,0,1,0,0,0.7,2.290919784,,,,,
0,0.860849057,0,1,0,1,0,0,0,0.5,2.293513708,,,,,
0,0.860849057,0,0,1,0,1,0,0,0.81,2.293513708,,,,,
0,0.860849057,0,1,0,0,1,0,0,0.74,2.293513708,,,,,
0,0.882075472,0,0,1,0,1,0,0,0.7,2.298327872,,,,,
0,0.882075472,0,0,1,0,1,0,0,0.71,2.298327872,,,,,
0,0.882075472,0,0,1,0,0,1,0,0.93,2.298327872,,,,,
0,0.900943396,0,1,0,1,0,0,0,0.5,2.302762944,,,,,
0,0.900943396,0,0,1,0,1,0,0,0.83,2.302762944,,,,,
0,0.910377358,0,1,0,0,0,1,0,0.84,2.305035197,,,,,
0,0.91745283,0,0,1,1,0,0,0,0.65,2.306763237,,,,,
0,0.91745283,0,0,1,0,1,0,0,0.84,2.306763237,,,,,
0,0.931603774,0,1,0,0,1,0,0,0.7,2.310280449,,,,,
0,0.943396226,0,1,0,0,1,0,0,0.75,2.313273501,,,,,
0,0.943396226,0,0,1,0,0,1,0,0.9,2.313273501,,,,,
0,0.955188679,0,1,0,1,0,0,0,0.53,2.316322722,,,,,
0,0.955188679,0,1,0,0,1,0,0,0.7,2.316322722,,,,,
0,0.964622642,0,0,1,0,0,1,0,1,2.318802392,,,,,
0,0.974056604,0,1,0,1,0,0,0,0.45,2.321317753,,,,,
0,0.974056604,0,0,1,0,1,0,0,0.9,2.321317753,,,,,
0,0.981132075,0,0,1,1,0,0,0,0.7,2.323227626,,,,,
0,0.985849057,0,1,0,0,1,0,0,0.7,2.324511969,,,,,
